file, 2APP, ZEL
b01, 82(0.133), 82(0.099)
b02, 90(0.031), 83(0.060)
b03, 140(0.139), 139(1.008)
b04, 59(0.002), 59(0.011)
b05, 64(0.007), 62(0.056)
b06, 127(0.011), 124(0.801)
b07, 111(0.003), 111(0.051)
b08, 104(0.007), 105(0.264)
b09, 223(0.018), 220(8.850)
b10, 98(0.003), 89(0.039)
b11, 90(0.004), 88(0.283)
b12, 174(0.032), 174(7.291)
b13, 175(0.010), 173(0.127)
b14, 237(0.028), 237(1.519)
b15, 323(0.041), 318(52.163)
b16, 137(0.014), 130(0.091)
b17, 134(0.016), 131(1.373)
b18, 224(0.056), 218(65.298)
file, 2APP, ZEL
c01, 88(0.004), 87(0.367)
c02, 144(0.008), 144(0.418)
c03, 780(0.428), " -(timeout)"
c04, 1112(0.813), " -(timeout)"
c05, 1604(3.718), " -(timeout)"
c06, 60(0.021), 55(0.477)
c07, 115(0.010), 107(0.488)
c08, 531(0.513), " -(timeout)"
c09, 728(1.073), " -(timeout)"
c10, 1121(4.417), " -(timeout)"
c11, 37(0.004), 33(0.474)
c12, 48(0.013), 48(0.483)
c13, 273(0.784), " -(timeout)"
c14, 341(1.633), " -(timeout)"
c15, 571(6.669), " -(timeout)"
c16, 12(0.015), 12(0.420)
c17, 20(0.059), 19(0.481)
c18, 124(2.495), " -(timeout)"
c19, 160(5.425), " -(timeout)"
c20, 268(20.500), " -(timeout)"
file, 2APP, ZEL
d01, 107(0.003), 110(3.262)
d02, 237(0.013), 224(3.500)
d03, 1644(3.431), " -(timeout)"
d04, 2001(7.547), " -(timeout)"
d05, 3313(28.477), " -(timeout)"
d06, 73(0.004), 68(3.954)
d07, 105(0.014), 105(3.865)
d08, 1143(4.196), " -(timeout)"
d09, 1545(10.417), " -(timeout)"
d10, 2161(34.471), " -(timeout)"
d11, 32(0.009), 31(3.666)
d12, 44(0.020), 42(3.729)
d13, 534(6.209), " -(timeout)"
d14, 708(14.191), " -(timeout)"
d15, 1151(56.563), " -(timeout)"
d16, 16(0.036), 14(3.353)
d17, 26(0.134), 24(3.498)
d18, 253(33.774), " -(timeout)"
d19, 347(70.110), " -(timeout)"
d20, 545(287.736), " -(timeout)"
file, 2APP, ZEL
e01, 125(0.008), 113(46.380)
e02, 255(0.038), 227(46.631)
e03, 4242(57.215), " -(timeout)"
e04, 5319(124.100), " -(timeout)"
e05, " -(timeout)", " -(timeout)"
e06, 86(0.011), 76(60.040)
e07, 172(0.058), 147(59.907)
e08, 2812(68.903), " -(timeout)"
e09, 3817(157.612), " -(timeout)"
e10, " -(timeout)", " -(timeout)"
e11, 39(0.022), 37(57.283)
e12, 69(0.095), 70(56.485)
e13, 1362(116.305), " -(timeout)"
e14, 1811(250.323), " -(timeout)"
e15, " -(timeout)", " -(timeout)"
e16, 19(0.068), 15(49.200)
e17, 29(0.347), 26(48.758)
e18, " -(timeout)", " -(timeout)"
e19, " -(timeout)", " -(timeout)"
e20, " -(timeout)", " -(timeout)"
file, 2APP, ZEL
diw0234, 2065(0.423), " -(timeout)"
diw0250, 350(0.002), 350(0.203)
diw0260, 476(0.003), 468(0.615)
diw0313, 397(0.005), 397(0.451)
diw0393, 315(0.002), 302(0.050)
diw0445, 1413(0.156), 1371(35.321)
diw0459, 1382(0.124), 1362(184.906)
diw0460, 394(0.005), 345(0.189)
diw0473, 1146(0.070), 1098(43.503)
diw0487, 1487(0.057), 1449(56.633)
diw0495, 638(0.006), 629(3.200)
diw0513, 649(0.007), 614(2.990)
diw0523, 561(0.006), 561(4.783)
diw0540, 377(0.002), 374(0.106)
diw0559, 1658(0.111), 1583(200.657)
diw0795, 1716(0.048), 1620(134.789)
diw0801, 1682(0.041), 1615(109.749)
file, 2APP, ZEL
lin01, 503(0.000), 503(0.001)
lin02, 557(0.000), 557(0.002)
lin03, 932(0.000), 932(0.003)
lin04, 1267(0.001), 1239(0.018)
lin05, 1824(0.001), 1703(0.024)
lin06, 1384(0.002), 1375(0.075)
lin07, 2081(0.001), 1911(0.120)
lin08, 2304(0.003), 2248(0.136)
lin09, 2785(0.004), 2752(0.171)
lin10, 4398(0.011), 4163(0.511)
lin11, 4335(0.011), 4314(2.357)
lin12, 5356(0.015), 5314(2.523)
lin13, 4618(0.025), 4652(2.600)
lin14, 6199(0.047), 5912(3.491)
lin15, 7382(0.106), 7211(16.075)
lin16, 6806(0.037), 6618(35.693)
lin17, 9468(0.096), 8405(34.450)
lin18, 10766(0.159), 9965(37.986)
lin19, 13792(0.401), 13371(75.137)
lin20, 7199(0.055), 6888(223.979)
lin21, 9616(0.178), 9297(216.789)
lin22, 11095(0.468), 10642(222.414)
lin23, 18580(1.062), " -(timeout)"
