file, FLS, LVI, LVE, LKPE, LKVE, opt
b01, 82 (0.152), 82 (0.002), 82 (0.002), 82 (0.004), 82 (0.002), 82
b02, 83 (0.075), 90 (0.002), 88 (0.002), 83 (0.007), 90 (0.006), 83
b03, 138 (0.103), 140 (0.002), 138 (0.003), 138 (0.020), 140 (0.001), 138
b04, 59 (0.015), 59 (0.002), 59 (0.002), 59 (0.003), 59 (0.003), 59
b05, 61 (0.029), 64 (0.002), 61 (0.002), 61 (0.009), 64 (0.007), 61
b06, 124 (0.072), 127 (0.003), 124 (0.003), 124 (0.025), 127 (0.007), 122
b07, 111 (0.029), 111 (0.004), 111 (0.003), 111 (0.006), 111 (0.007), 111
b08, 104 (0.024), 104 (0.003), 104 (0.004), 104 (0.008), 104 (0.007), 104
b09, 220 (0.226), 222 (0.004), 222 (0.007), 220 (0.071), 223 (0.029), 220
b10, 86 (0.051), 98 (0.004), 91 (0.005), 86 (0.016), 98 (0.012), 86
b11, 88 (0.047), 90 (0.005), 88 (0.006), 88 (0.013), 90 (0.007), 88
b12, 174 (0.077), 174 (0.006), 174 (0.006), 174 (0.024), 174 (0.010), 174
b13, 170 (0.102), 175 (0.005), 171 (0.012), 170 (0.032), 175 (0.012), 165
b14, 236 (0.157), 237 (0.006), 236 (0.011), 236 (0.047), 237 (0.032), 235
b15, 318 (0.284), 323 (0.007), 318 (0.017), 318 (0.120), 323 (0.070), 318
b16, 127 (0.046), 137 (0.007), 137 (0.010), 127 (0.030), 137 (0.027), 127
b17, 131 (0.081), 133 (0.010), 133 (0.015), 131 (0.046), 134 (0.070), 131
b18, 218 (0.268), 219 (0.013), 224 (0.010), 219 (0.191), 224 (0.073), 218
c01, 85 (1.057), 88 (0.504), 88 (0.508), 85 (0.993), 88 (1.008), 85
c02, 144 (0.968), 144 (0.485), 144 (0.476), 144 (0.910), 144 (1.019), 144
c03, 754 (3.429), 780 (0.414), 757 (0.471), 754 (2.162), 780 (2.599), 754
c04, 1080 (8.388), 1112 (0.439), 1100 (0.551), 1080 (4.587), 1112 (8.902), 1079
c05, 1580 (26.41), 1602 (0.538), 1583 (0.738), 1580 (11.82), 1604 (20.49), 1579
c06, 55 (1.342), 60 (0.685), 60 (0.634), 55 (1.307), 60 (1.348), 55
c07, 103 (1.129), 115 (0.566), 115 (0.565), 103 (1.200), 115 (1.289), 102
c08, 513 (4.119), 528 (0.561), 514 (0.631), 513 (2.490), 531 (2.849), 509
c09, 709 (9.472), 723 (0.690), 716 (0.796), 709 (7.112), 728 (4.672), 707
c10, 1094 (23.59), 1112 (0.777), 1106 (0.864), 1094 (15.08), 1122 (19.14), 1093
c11, 34 (1.336), 35 (0.581), 37 (0.550), 34 (1.270), 37 (1.321), 32
c12, 46 (1.122), 48 (0.523), 47 (0.565), 46 (1.243), 48 (1.285), 46
c13, 258 (3.781), 270 (0.703), 272 (0.747), 261 (2.382), 273 (2.926), 258
