file, TWO_APPROXIMATION, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION
b01.stp, 82(0.034), 82(0.042), 82(0.001), 82(0.001), 82(0.002), 82(0.002)
b02.stp, 90(0.003), 83(0.082), 90(0.001), 88(0.001), 83(0.005), 90(0.004)
b03.stp, 140(0.012), 138(0.128), 140(0.001), 138(0.002), 138(0.016), 140(0.001)
b04.stp, 59(0.005), 59(0.011), 59(0.001), 59(0.001), 59(0.002), 59(0.004)
b05.stp, 64(0.004), 61(0.015), 64(0.001), 61(0.002), 61(0.006), 64(0.003)
b06.stp, 127(0.025), 124(0.070), 127(0.003), 124(0.002), 124(0.019), 127(0.009)
b07.stp, 111(0.004), 111(0.040), 111(0.002), 111(0.002), 111(0.008), 111(0.006)
b08.stp, 104(0.010), 104(0.025), 104(0.002), 104(0.002), 104(0.007), 104(0.005)
b09.stp, 223(0.009), 220(0.230), 222(0.004), 222(0.005), 220(0.064), 223(0.031)
b10.stp, 98(0.006), 86(0.028), 98(0.002), 91(0.003), 86(0.011), 98(0.017)
b11.stp, 90(0.004), 88(0.023), 90(0.003), 88(0.003), 88(0.011), 90(0.006)
b12.stp, 174(0.007), 174(0.047), 174(0.004), 174(0.004), 174(0.017), 174(0.008)
b13.stp, 175(0.005), 170(0.074), 175(0.004), 171(0.006), 170(0.031), 175(0.010)
b14.stp, 237(0.007), 236(0.187), 237(0.004), 236(0.007), 236(0.037), 237(0.045)
b15.stp, 323(0.007), 318(0.111), 323(0.005), 318(0.009), 318(0.104), 323(0.035)
b16.stp, 137(0.005), 127(0.024), 137(0.005), 137(0.006), 127(0.018), 137(0.012)
b17.stp, 134(0.006), 131(0.089), 133(0.007), 133(0.008), 131(0.035), 134(0.026)
b18.stp, 224(0.011), 218(0.228), 219(0.009), 224(0.007), 219(0.143), 224(0.055)
