file, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION
b01.stp, 82, 89, 85, 82
b02.stp, 88, 96, 88, 90
b03.stp, 138, 144, 138, 140
b04.stp, 62, 68, 62, 59
b05.stp, 61, 68, 62, 64
b06.stp, 124, 130, 127, 127
b07.stp, 111, 127, 111, 111
b08.stp, 104, 107, 104, 104
b09.stp, 220, 220, 222, 223
b10.stp, 90, 94, 87, 98
b11.stp, 90, 121, 90, 90
b12.stp, 174, 190, 174, 174
b13.stp, 174, 189, 174, 175
b14.stp, 241, 255, 241, 237
b15.stp, 318, 333, 322, 323
b16.stp, 133, 178, 134, 137
b17.stp, 132, 147, 132, 134
b18.stp, 221, 227, 222, 224
