file, TWO_APPROXIMATION, ZELIKOVSKY, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION
b01.stp, 82, 82, 82, 82, 82, 82, 82
b02.stp, 90, 83, 83, 90, 88, 83, 89
b03.stp, 140, 139, 138, 140, 138, 138, 140
b04.stp, 59, 59, 59, 59, 59, 59, 59
b05.stp, 64, 62, 61, 64, 61, 61, 61
b06.stp, 127, 124, 124, 127, 124, 124, 124
b07.stp, 111, 111, 111, 111, 111, 111, 111
b08.stp, 104, 105, 104, 104, 104, 104, 104
b09.stp, 223, 220, 220, 222, 222, 220, 220
b10.stp, 98, 89, 86, 98, 91, 86, 94
b11.stp, 90, 88, 88, 90, 88, 88, 90
b12.stp, 174, 174, 174, 174, 174, 174, 174
b13.stp, 175, 173, 170, 175, 171, 170, 175
b14.stp, 237, 237, 235, 237, 236, 236, 236
b15.stp, 323, 318, 318, 323, 318, 318, 319
b16.stp, 137, 130, 127, 137, 137, 127, 136
b17.stp, 134, 131, 131, 133, 133, 131, 132
b18.stp, 224, 218, 218, 219, 224, 219, 218
