file, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION
c01.stp, 86(0.472), 118(0.016), 85(0.395), 88(0.487)
c02.stp, 144(0.403), 194(0.025), 144(0.429), 144(0.470)
c03.stp, 763(0.834), 867(0.014), 766(0.495), 780(0.444)
c04.stp, 1091(1.075), 1152(0.010), 1095(0.492), 1112(0.390)
c05.stp, 1581(4.119), 1642(0.006), 1594(0.596), 1604(0.442)
c06.stp, 55(0.610), 142(0.037), 55(0.510), 60(0.633)
c07.stp, 102(0.595), 191(0.023), 106(0.562), 115(0.600)
c08.stp, 512(0.715), 661(0.015), 522(0.624), 531(0.599)
c09.stp, 721(1.077), 831(0.020), 720(0.658), 728(0.536)
c10.stp, 1099(3.838), 1174(0.015), 1112(0.672), 1122(0.650)
c11.stp, 32(0.566), 90(0.079), 35(0.524), 37(0.586)
c12.stp, 48(0.485), 82(0.059), 48(0.586), 48(0.594)
c13.stp, 266(0.722), 341(0.034), 269(0.618), 273(0.510)
c14.stp, 328(1.027), 398(0.046), 333(0.569), 341(0.502)
c15.stp, 559(3.213), 630(0.021), 566(0.648), 571(0.651)
c16.stp, 11(0.547), 47(0.546), 13(0.558), 12(0.526)
c17.stp, 19(0.551), 57(0.389), 19(0.573), 20(0.497)
c18.stp, 119(0.661), 224(0.191), 126(0.542), 124(0.457)
c19.stp, 154(0.753), 252(0.114), 159(0.489), 160(0.504)
c20.stp, 268(2.716), 379(0.109), 269(0.644), 268(0.605)
