file, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION
c01.stp, 86, 118, 85, 88
c02.stp, 144, 194, 144, 144
c03.stp, 763, 867, 766, 780
c04.stp, 1091, 1152, 1095, 1112
c05.stp, 1581, 1642, 1594, 1604
c06.stp, 55, 142, 55, 60
c07.stp, 102, 191, 106, 115
c08.stp, 512, 661, 522, 531
c09.stp, 721, 831, 720, 728
c10.stp, 1099, 1174, 1112, 1122
c11.stp, 32, 90, 35, 37
c12.stp, 48, 82, 48, 48
c13.stp, 266, 341, 269, 273
c14.stp, 328, 398, 333, 341
c15.stp, 559, 630, 566, 571
c16.stp, 11, 47, 13, 12
c17.stp, 19, 57, 19, 20
c18.stp, 119, 224, 126, 124
c19.stp, 154, 252, 159, 160
c20.stp, 268, 379, 269, 268
