file, TWO_APPROXIMATION, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION
c01.stp, 88, 85, 88, 88, 85, 88
c02.stp, 144, 144, 144, 144, 144, 144
c03.stp, 780, 754, 780, 757, 754, 780
c04.stp, 1112, 1080, 1112, 1100, 1080, 1112
c05.stp, 1604, 1580, 1602, 1583, 1580, 1604
c06.stp, 60, 55, 60, 60, 55, 60
c07.stp, 115, 103, 115, 115, 103, 115
c08.stp, 531, 513, 528, 514, 513, 531
c09.stp, 728, 709, 723, 716, 709, 728
c10.stp, 1122, 1094, 1112, 1106, 1094, 1122
c11.stp, 37, 34, 35, 37, 34, 37
c12.stp, 48, 46, 48, 47, 46, 48
c13.stp, 273, 258, 270, 272, 261, 273
c14.stp, 341, 325, 334, 337, 325, 341
c15.stp, 571, 556, 570, 559, 556, 571
c16.stp, 12, 12, 12, 12, 12, 12
c17.stp, 20, 18, 20, 20, 18, 20
c18.stp, 124, 117, 123, 118, 117, 124
c19.stp, 160, 151, 158, 152, 151, 160
c20.stp, 268, 268, 268, 268, 268, 268
