file, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION
d01.stp, 107, 143, 107, 107
d02.stp, 237, 329, 228, 237
d03.stp, 1591, 1843, 1610, 1644
d04.stp, 1953, 2174, 1982, 2001
d05.stp, 3258, 3362, 3280, 3313
d06.stp, 70, 140, 75, 73
d07.stp, 103, 289, 105, 105
d08.stp, 1098, 1296, 1109, 1143
d09.stp, 1478, 1659, 1504, 1546
d10.stp, 2125, 2243, 2146, 2161
d11.stp, 32, 78, 30, 32
d12.stp, 42, 91, 42, 44
d13.stp, 519, 663, 516, 534
d14.stp, 679, 833, 686, 708
d15.stp, 1130, 1243, 1137, 1151
d16.stp, 15, 53, 15, 16
d17.stp, 23, 78, 23, 26
d18.stp, 241, 418, 246, 253
d19.stp, 333, 551, 338, 348
d20.stp, 543, 747, 542, 545
