file, TWO_APPROXIMATION, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION
d01.stp, 107, 106, 107, 107, 106, 107
d02.stp, 237, 220, 237, 237, 220, 237
d03.stp, 1644, 1565, 1628, 1597, 1565, 1644
d04.stp, 2001, 1936, 1989, 1968, 1936, 2001
d05.stp, 3313, 3255, 3306, 3258, 3255, 3313
d06.stp, 73, 70, 73, 73, 70, 73
d07.stp, 105, 103, 105, 105, 103, 105
d08.stp, 1143, 1080, 1128, 1117, 1088, 1143
d09.stp, 1546, 1453, 1512, 1498, 1456, 1546
d10.stp, 2161, 2112, 2140, 2130, 2118, 2161
d11.stp, 32, 29, 32, 32, 29, 32
d12.stp, 44, 42, 44, 44, 42, 44
d13.stp, 534, 507, 526, 521, 507, 534
d14.stp, 708, 673, 694, 685, 673, 708
d15.stp, 1151, 1124, 1141, 1129, 1124, 1151
d16.stp, 16, 14, 16, 16, 14, 16
d17.stp, 26, 23, 26, 25, 23, 26
d18.stp, 253, 229, 248, 239, 239, 253
d19.stp, 348, 320, 340, 327, 328, 348
d20.stp, 545, 539, 543, 542, 542, 545
