file, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION
e01.stp, 115, 139, 115, 125
e02.stp, 235, 527, 227, 255
e03.stp, 4104, 4584, 4117, 4242
e04.stp, 5150, 5644, 5217, 5319
e05.stp, 8162, 8400, 8240, 8294
e06.stp, 76, 160, 78, 86
e07.stp, 149, 254, 155, 172
e08.stp, 2691, 3202, 2729, 2812
e09.stp, 3667, 4230, 3738, 3817
e10.stp, 5627, 6039, 5663, 5748
e11.stp, 37, 69, 39, 39
e12.stp, 68, 166, 68, 71
e13.stp, 1321, 1667, 1333, 1364
e14.stp, 1756, 2156, 1775, 1812
e15.stp, 2807, 3074, 2826, 2863
e16.stp, 15, 100, 15, 19
e17.stp, 26, 132, 26, 27
e18.stp, 609, 1138, 637, 647
e19.stp, 795, 1371, 806, 815
e20.stp, 1352, 1879, 1355, 1358
