file, HYBRID_GRASP_WITH_PERTURBATIONS,opt
e01.stp, 111(-0.000), 111
e02.stp, 222(-0.000), 214
e03.stp, 4059(-0.000), 4013
e04.stp, 5122(-0.000), 5101
e05.stp, 8138(-0.000), 8128
e06.stp, 76(-0.000), 73
e07.stp, 149(-0.000), 145
e08.stp, 2662(-0.000), 2640
e09.stp, 3626(-0.000), 3604
e10.stp, 5605(-0.000), 5600
e11.stp, 37(-0.000), 34
e12.stp, 68(-0.000), 67
e13.stp, 1297(-0.000), 1280
e14.stp, 1739(-0.000), 1732
e15.stp, 2792(-0.000), 2784
e16.stp, 16(-0.000), 15
e17.stp, 26(-0.000), 25
e18.stp, 626(-0.000), 564
e19.stp, 805(-0.000), 758
e20.stp, 2147483647(-0.000), 1342
