file, HYBRID_GRASP_WITH_PERTURBATIONS
lin01.stp, 503(1.427)
lin02.stp, 557(1.886)
lin03.stp, 926(2.628)
lin04.stp, 1239(17.873)
lin05.stp, 1703(28.455)
lin06.stp, 1348(32.657)
lin07.stp, 1885(86.034)
lin08.stp, 2248(111.159)
lin09.stp, 2785(99.745)
lin10.stp, 4152(196.697)
lin11.stp, 4333(1182.392)
lin12.stp, 5310(1408.071)
lin13.stp, 4611(1550.204)
lin14.stp, 5846(2698.177)
lin15.stp, 7165(2963.258)
lin16.stp, 6731(-0.000)
lin17.stp, 8951(-0.000)
lin18.stp, 10242(-0.000)
lin19.stp, 13520(-0.000)
lin20.stp, 7098(-0.000)
lin21.stp, 9502(-0.000)
lin22.stp, 10947(-0.000)
lin23.stp, 2147483647(-0.000)
lin24.stp, 2147483647(-0.000)
lin25.stp, 2147483647(-0.000)
lin26.stp, 2147483647(-0.000)
lin27.stp, 2147483647(-0.000)
lin28.stp, 2147483647(-0.000)
