file, HYBRID_GRASP_WITH_PERTURBATIONS
lin01.stp, 503
lin02.stp, 557
lin03.stp, 926
lin04.stp, 1239
lin05.stp, 1703
lin06.stp, 1348
lin07.stp, 1885
lin08.stp, 2248
lin09.stp, 2785
lin10.stp, 4152
lin11.stp, 4333
lin12.stp, 5310
lin13.stp, 4611
lin14.stp, 5846
lin15.stp, 7165
lin16.stp, 6731
lin17.stp, 8951
lin18.stp, 10242
lin19.stp, 13520
lin20.stp, 7098
lin21.stp, 9502
lin22.stp, 10947
lin23.stp, 2147483647
lin24.stp, 2147483647
lin25.stp, 2147483647
lin26.stp, 2147483647
lin27.stp, 2147483647
lin28.stp, 2147483647
