file, TWO_APPROXIMATION, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION, HYBRID_GRASP_WITH_PERTURBATIONS, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION, opt
lin01.stp, 503(0.057), 503(0.030), 503(0.002), 503(0.001), 503(0.003), 503(0.003), 503(0.447), 503(0.001), 611(0.001), 503(0.001), 503(0.001), 503
lin02.stp, 557(0.011), 557(0.017), 557(0.002), 557(0.002), 557(0.003), 557(0.002), 557(0.502), 557(0.001), 605(0.002), 557(0.001), 557(0.001), 557
lin03.stp, 932(0.005), 926(0.033), 932(0.002), 932(0.003), 926(0.005), 932(0.003), 926(0.538), 926(0.002), 1113(0.002), 932(0.002), 932(0.001), 926
lin04.stp, 1267(0.038), 1267(0.070), 1267(0.021), 1267(0.026), 1267(0.045), 1267(0.044), 1239(3.481), 1267(0.020), 1892(0.006), 1341(0.025), 1267(0.019), 1239
lin05.stp, 1824(0.041), 1709(0.150), 1824(0.027), 1808(0.041), 1709(0.071), 1824(0.080), 1709(6.432), 1757(0.023), 2196(0.007), 1814(0.025), 1824(0.025), 1703
lin06.stp, 1394(0.046), 1348(0.184), 1389(0.030), 1384(0.033), 1348(0.097), 1394(0.081), 1348(5.912), 1438(0.023), 1560(0.006), 1425(0.029), 1394(0.025), 1348
lin07.stp, 2007(0.232), 1885(0.430), 2007(0.171), 2007(0.166), 1885(0.338), 2007(0.315), 1885(16.146), 1897(0.166), 2687(0.013), 1995(0.163), 2007(0.152), 1885
lin08.stp, 2304(0.198), 2248(0.389), 2304(0.160), 2248(0.187), 2248(0.376), 2304(0.358), 2248(20.404), 2248(0.156), 3412(0.016), 2304(0.168), 2304(0.165), 2248
lin09.stp, 2785(0.270), 2785(0.381), 2785(0.155), 2785(0.163), 2785(0.375), 2785(0.371), 2785(18.996), 2785(0.169), 4071(0.010), 2785(0.168), 2785(0.152), 2752
lin10.stp, 4386(0.233), 4155(0.835), 4354(0.183), 4386(0.195), 4155(0.639), 4386(0.471), 4132(40.849), 4244(0.151), 5380(0.014), 4244(0.182), 4386(0.170), 4132
lin11.stp, 4335(3.385), 4297(6.390), 4335(3.040), 4335(3.063), 4297(6.077), 4335(6.162), 4287(249.882), 4369(2.789), 5208(0.072), 4335(3.013), 4335(2.867), 4280
lin12.stp, 5356(3.264), 5301(6.646), 5356(3.019), 5356(3.246), 5301(6.283), 5356(6.192), 5310(213.882), 5310(2.817), 11087(0.051), 5269(2.967), 5356(2.999), 5250
lin13.stp, 4850(3.298), 4638(6.793), 4814(3.109), 4850(3.193), 4638(6.714), 4850(6.622), 4634(287.060), 4800(2.823), 8515(0.079), 4633(3.025), 4850(3.071), 4609
lin14.stp, 6233(3.270), 6045(7.824), 6233(3.110), 6179(3.407), 6045(6.879), 6233(7.030), 5964(302.896), 6160(2.990), 9672(0.058), 6132(3.126), 6233(3.089), 5824
lin15.stp, 7412(3.512), 7169(12.245), 7412(3.249), 7362(3.522), 7169(9.127), 7412(8.602), 7197(301.195), 7205(3.377), 11473(0.057), 7296(3.277), 7412(3.292), 7145
lin16.stp, 6806(48.187), 6723(87.167), 6806(42.121), 6806(43.044), 6723(86.465), 6806(87.002), 6731(312.251), 6731(40.456), 14529(0.282), 6806(42.298), 6806(42.241), 6618
lin17.stp, 9502(45.211), 8447(90.550), 9502(43.349), 9344(43.539), 8447(90.321), 9502(90.338), 8951(300.788), 8983(40.449), 17147(0.220), 9015(43.205), 9502(42.777), 8405
lin18.stp, 10852(44.567), 9877(99.267), 10852(45.148), 10766(43.976), 9877(95.014), 10852(89.618), 10339(300.365), 10339(40.887), 16954(0.242), 10258(45.106), 10852(42.877), 9714
lin19.stp, 13830(46.061), 13269(124.884), 13830(46.889), 13823(47.108), 13269(119.131), 13830(96.637), 13520(326.043), 13606(41.966), 25236(0.145), 13802(44.788), 13830(43.884), 13268
lin20.stp, 7169(279.644), 7062(536.352), 7169(271.318), 7169(278.118), 7062(567.149), 7169(545.047), 6829(304.671), 7132(267.060), 16980(0.869), 7098(270.931), 7169(278.915), 6673
lin21.stp, 9654(288.663), 9620(555.637), 9654(277.087), 9654(281.543), 9620(562.678), 9654(569.558), 9574(303.874), 9470(274.741), 17969(1.151), 9522(268.698), 9654(296.914), 9143
lin22.stp, 11025(293.450), 10953(562.309), 10989(282.513), 11025(278.075), 10953(559.078), 11025(549.202), 10885(304.611), 10739(263.029), 22696(0.863), 10905(274.213), 11025(272.965), 10519
lin23.stp, 18656(299.030), 18544(565.576), 18656(287.128), 18656(287.136), 18544(563.556), 18656(564.098), 18271(312.970), 17966(279.527), 35695(0.517), 18315(267.313), 18656(281.765), 17560
