file, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION
lin01.stp, 503(0.079), 611(236.780), 503(0.005), 503(225.403)
lin02.stp, 557(0.004), 605(0.002), 557(0.001), 557(0.004)
lin03.stp, 926(0.004), 1113(0.002), 932(0.002), 932(0.002)
lin04.stp, 1267(0.030), 1892(0.006), 1267(0.015), 1267(0.015)
lin05.stp, 1757(0.021), 2196(0.015), 1814(0.017), 1824(0.032)
lin06.stp, 1438(0.058), 1560(0.007), 1438(0.021), 1394(0.050)
lin07.stp, 1897(0.131), 2687(0.014), 1911(0.097), 2007(0.142)
lin08.stp, 2248(0.207), 3412(0.022), 2304(0.105), 2304(0.170)
lin09.stp, 2785(0.260), 4071(0.012), 2785(0.102), 2785(0.121)
lin10.stp, 4244(0.158), 5380(0.027), 4263(0.112), 4386(0.130)
lin11.stp, 4369(1.881), 5208(0.144), 4335(1.947), 4335(1.919)
lin12.stp, 5310(1.848), 11087(0.058), 5314(1.931), 5356(1.920)
lin13.stp, 4800(1.894), 8515(0.099), 4824(2.000), 4850(1.941)
lin14.stp, 6160(1.928), 9672(0.074), 5952(1.984), 6233(1.998)
lin15.stp, 7205(2.098), 11473(0.062), 7411(2.070), 7412(2.074)
lin16.stp, 6731(25.287), 14529(0.345), 6778(26.122), 6806(26.061)
lin17.stp, 8983(25.500), 17147(0.245), 9015(27.009), 9502(26.370)
lin18.stp, 10339(25.767), 16954(0.258), 10312(28.736), 10852(26.779)
lin19.stp, 13606(27.137), 25236(0.181), 13748(29.236), 13830(27.392)
lin20.stp, 7132(164.251), 16980(1.020), 6829(170.607), 7169(173.866)
lin21.stp, 9470(164.694), 17969(1.455), 9502(168.250), 9654(166.826)
lin22.stp, 10739(166.740), 22696(0.915), 10994(164.403), 11025(166.914)
lin23.stp, 17966(167.828), 35695(0.545), 18296(163.887), 18656(163.435)
lin24.stp, 16273(1737.177), 33023(4.435), 16245(1725.628), 0(-0.000)
lin25.stp, 19102(1771.067), 42202(3.574), 19115(1747.959), 0(-0.000)
lin26.stp, 23047(1770.738), 58735(3.017), 23125(1767.130), 0(-0.000)
lin27.stp, 0(-0.000), 39349(3.422), 0(-0.000), 0(-0.000)
lin28.stp, 0(-0.000), 69047(2.767), 0(-0.000), 0(-0.000)
