file, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION
lin01.stp, 503, 611, 503, 503
lin02.stp, 557, 605, 557, 557
lin03.stp, 926, 1113, 932, 932
lin04.stp, 1267, 1892, 1267, 1267
lin05.stp, 1757, 2196, 1814, 1824
lin06.stp, 1438, 1560, 1438, 1394
lin07.stp, 1897, 2687, 1911, 2007
lin08.stp, 2248, 3412, 2304, 2304
lin09.stp, 2785, 4071, 2785, 2785
lin10.stp, 4244, 5380, 4263, 4386
lin11.stp, 4369, 5208, 4335, 4335
lin12.stp, 5310, 11087, 5314, 5356
lin13.stp, 4800, 8515, 4824, 4850
lin14.stp, 6160, 9672, 5952, 6233
lin15.stp, 7205, 11473, 7411, 7412
lin16.stp, 6731, 14529, 6778, 6806
lin17.stp, 8983, 17147, 9015, 9502
lin18.stp, 10339, 16954, 10312, 10852
lin19.stp, 13606, 25236, 13748, 13830
lin20.stp, 7132, 16980, 6829, 7169
lin21.stp, 9470, 17969, 9502, 9654
lin22.stp, 10739, 22696, 10994, 11025
lin23.stp, 17966, 35695, 18296, 18656
lin24.stp, 16273, 33023, 16245, 0
lin25.stp, 19102, 42202, 19115, 0
lin26.stp, 23047, 58735, 23125, 0
lin27.stp, 0, 39349, 0, 0
lin28.stp, 0, 69047, 0, 0
