file, HYBRID_GRASP_WITH_PERTURBATIONS,opt
lin01.stp, 503(1.427), 503
lin02.stp, 557(1.886), 557
lin03.stp, 926(2.628), 926
lin04.stp, 1239(17.873), 1239
lin05.stp, 1703(28.455), 1703
lin06.stp, 1348(32.657), 1348
lin07.stp, 1885(86.034), 1885
lin08.stp, 2248(111.159), 2248
lin09.stp, 2785(99.745), 2752
lin10.stp, 4152(196.697), 4132
lin11.stp, 4333(1182.392), 4280
lin12.stp, 5310(1408.071), 5250
lin13.stp, 4611(1550.204), 4609
lin14.stp, 5846(2698.177), 5824
lin15.stp, 7165(2963.258), 7145
lin16.stp, 6731(-0.000), 6618
lin17.stp, 8951(-0.000), 8405
lin18.stp, 10242(-0.000), 9714
lin19.stp, 13520(-0.000), 13268
lin20.stp, 7098(-0.000), 6673
lin21.stp, 9502(-0.000), 9143
lin22.stp, 10947(-0.000), 10519
lin23.stp, 2147483647(-0.000), 17560
lin24.stp, 2147483647(-0.000), 15076
lin25.stp, 2147483647(-0.000), 17803
lin26.stp, 2147483647(-0.000), 21757
lin27.stp, 2147483647(-0.000), 20678
lin28.stp, 2147483647(-0.000), 32584
