#edges
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
b01, 63, 56, 37, 26, 28
b02, 63, 60, 41, 36, 35
b03, 63, 54, 46, 36, 35
b04, 100, 72, 90, 53, 57
b05, 100, 68, 94, 47, 62
b06, 100, 73, 96, 62, 68
b07, 94, 88, 58, 50, 47
b08, 94, 83, 54, 39, 43
b09, 94, 82, 69, 56, 53
b10, 150, 128, 136, 108, 110
b11, 150, 114, 139, 95, 101
b12, 150, 93, 141, 71, 83
b13, 125, 121, 76, 70, 67
b14, 125, 120, 85, 77, 74
b15, 125, 117, 93, 85, 83
b16, 200, 174, 182, 152, 151
b17, 200, 147, 182, 120, 126
b18, 200, 124, 188, 94, 110
c01, 625, 625, 331, 331, 326
c02, 625, 625, 321, 321, 312
c03, 625, 605, 383, 353, 347
c04, 625, 600, 401, 370, 351
c05, 625, 562, 472, 396, 393
c06, 1000, 997, 874, 871, 857
c07, 1000, 981, 889, 863, 858
c08, 1000, 836, 902, 700, 703
c09, 1000, 767, 924, 627, 660
c10, 1000, 650, 945, 518, 582
c11, 2500, 2041, 2500, 2039, 2041
c12, 2500, 1719, 2499, 1709, 1718
c13, 2500, 1106, 2499, 1050, 1106
c14, 2500, 950, 2500, 862, 950
c15, 2500, 839, 2500, 767, 839
c16, 12500, 4007, 12500, 4007, 4007
c17, 12500, 3363, 12500, 3363, 3363
c18, 12500, 2257, 12500, 2254, 2257
c19, 12500, 1896, 12500, 1891, 1896
c20, 12500, 1410, 12500, 1390, 1410
d01, 1250, 1250, 649, 649, 644
d02, 1250, 1250, 661, 661, 658
d03, 1250, 1216, 749, 697, 662
d04, 1250, 1203, 777, 713, 660
d05, 1250, 1156, 955, 833, 831
d06, 2000, 1998, 1774, 1772, 1757
d07, 2000, 1991, 1765, 1749, 1728
d08, 2000, 1658, 1812, 1359, 1403
d09, 2000, 1544, 1835, 1250, 1342
d10, 2000, 1306, 1868, 1013, 1138
d11, 5000, 4294, 4994, 4280, 4284
d12, 5000, 3347, 5000, 3328, 3347
d13, 5000, 2161, 4998, 2037, 2159
d14, 5000, 1957, 4999, 1807, 1956
d15, 5000, 1581, 5000, 1410, 1581
d16, 25000, 9170, 25000, 9170, 9170
d17, 25000, 8675, 25000, 8675, 8675
d18, 25000, 4364, 25000, 4359, 4364
d19, 25000, 4573, 25000, 4570, 4573
d20, 25000, 2926, 25000, 2897, 2926
e01, 3125, 3125, 1587, 1587, 1584
e02, 3125, 3125, 1628, 1628, 1619
e03, 3125, 3067, 1868, 1794, 1664
e04, 3125, 3032, 1961, 1835, 1720
e05, 3125, 2869, 2366, 2032, 2010
e06, 5000, 4999, 4379, 4378, 4371
e07, 5000, 4998, 4408, 4405, 4376
e08, 5000, 4235, 4505, 3564, 3574
e09, 5000, 3954, 4572, 3255, 3381
e10, 5000, 3372, 4690, 2724, 2968
e11, 12500, 11858, 12498, 11856, 11856
e12, 12500, 11122, 12500, 11118, 11122
e13, 12500, 5457, 12496, 5167, 5451
e14, 12500, 4977, 12499, 4588, 4976
e15, 12500, 4018, 12498, 3565, 4016
e16, 62500, 25973, 62500, 25973, 25973
e17, 62500, 22370, 62500, 22370, 22370
e18, 62500, 12226, 62500, 12223, 12226
e19, 62500, 9403, 62500, 9366, 9403
e20, 62500, 7038, 62500, 6976, 7038
lin01, 80, 79, 76, 74, 73
lin02, 82, 80, 78, 75, 73
lin03, 84, 82, 80, 74, 76
lin04, 266, 260, 262, 252, 256
lin05, 269, 267, 265, 259, 261
lin06, 274, 260, 270, 243, 255
lin07, 526, 525, 522, 520, 521
lin08, 530, 527, 526, 521, 523
lin09, 532, 530, 528, 523, 525
lin10, 540, 531, 536, 520, 527
lin11, 1460, 1456, 1456, 1451, 1452
lin12, 1462, 1455, 1458, 1449, 1450
lin13, 1466, 1460, 1462, 1453, 1456
lin14, 1472, 1467, 1468, 1458, 1463
lin15, 1484, 1467, 1480, 1447, 1462
lin16, 3633, 3633, 3629, 3629, 3629
lin17, 3641, 3633, 3637, 3627, 3629
lin18, 3646, 3639, 3642, 3631, 3635
lin19, 3662, 3643, 3658, 3628, 3639
lin20, 6709, 6704, 6705, 6697, 6700
lin21, 6717, 6714, 6713, 6707, 6710
lin22, 6726, 6719, 6722, 6710, 6715
lin23, 6750, 6730, 6746, 6713, 6726
#vertices
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
b01, 50, 50, 25, 21, 25
b02, 50, 50, 28, 26, 28
b03, 50, 50, 34, 32, 34
b04, 50, 50, 40, 32, 40
b05, 50, 50, 44, 29, 44
b06, 50, 50, 47, 40, 47
b07, 75, 75, 40, 38, 40
b08, 75, 75, 37, 32, 37
b09, 75, 75, 50, 49, 50
b10, 75, 75, 61, 55, 61
b11, 75, 75, 65, 57, 65
b12, 75, 75, 68, 53, 68
b13, 100, 100, 52, 50, 52
b14, 100, 100, 60, 57, 60
b15, 100, 100, 68, 68, 68
b16, 100, 100, 82, 78, 82
b17, 100, 100, 82, 73, 82
b18, 100, 100, 88, 70, 88
c01, 500, 500, 206, 206, 206
c02, 500, 500, 198, 198, 198
c03, 500, 500, 258, 248, 258
c04, 500, 500, 276, 270, 276
c05, 500, 500, 347, 334, 347
c06, 500, 500, 375, 375, 375
c07, 500, 500, 389, 382, 389
c08, 500, 500, 403, 365, 403
c09, 500, 500, 424, 360, 424
c10, 500, 500, 445, 368, 445
c11, 500, 500, 500, 498, 500
c12, 500, 500, 499, 490, 499
c13, 500, 500, 499, 444, 499
c14, 500, 500, 500, 412, 500
c15, 500, 500, 500, 428, 500
c16, 500, 500, 500, 500, 500
c17, 500, 500, 500, 500, 500
c18, 500, 500, 500, 497, 500
c19, 500, 500, 500, 495, 500
c20, 500, 500, 500, 481, 500
d01, 1000, 1000, 399, 399, 399
d02, 1000, 1000, 411, 411, 411
d03, 1000, 1000, 499, 481, 499
d04, 1000, 1000, 528, 510, 528
d05, 1000, 1000, 705, 677, 705
d06, 1000, 1000, 774, 774, 774
d07, 1000, 1000, 766, 759, 766
d08, 1000, 1000, 812, 701, 812
d09, 1000, 1000, 836, 706, 836
d10, 1000, 1000, 869, 707, 869
d11, 1000, 1000, 994, 986, 994
d12, 1000, 1000, 1000, 981, 1000
d13, 1000, 1000, 998, 876, 998
d14, 1000, 1000, 999, 850, 999
d15, 1000, 1000, 1000, 829, 1000
d16, 1000, 1000, 1000, 1000, 1000
