file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2
c01, 625, 625, 331, 625, 500, 500, 206, 500, 0, 0.4514, 8.407e-04, 0.4214, 29.85, 33.35, 4.812, 30.11, 85, 85, 85, 85
c02, 625, 624, 321, 625, 500, 500, 198, 500, 0, 0.4267, 8.000e-04, 0.4358, 31.67, 30.75, 4.778, 32.46, 144, 144, 144, 144
c03, 625, 625, 383, 605, 500, 500, 258, 500, 0, 0.3861, 5.657e-04, 0.4315, 81.47, 91.25, 32.95, 82.80, 754, 754, 754, 759
c04, 625, 625, 401, 600, 500, 500, 276, 500, 0, 0.4330, 6.648e-04, 0.4944, 128.1, 127.5, 64.93, 129.1, 1080, 1080, 1079, 1086
c05, 625, 624, 472, 562, 500, 500, 347, 500, 0, 0.4143, 5.402e-04, 0.6291, 217.2, 251.6, 187.5, 252.3, 1579, 1579, 1579, 1582
c06, 1000, 989, 874, 997, 500, 500, 375, 500, 0, 0.5410, 8.620e-04, 0.5262, 44.13, 45.45, 25.19, 43.89, 55, 55, 55, 55
c07, 1000, 992, 889, 981, 500, 500, 389, 500, 0, 0.5154, 8.245e-04, 0.5231, 45.44, 44.63, 30.62, 45.83, 102, 102, 102, 106
c08, 1000, 995, 902, 836, 500, 500, 403, 500, 0, 0.5240, 7.481e-04, 0.5680, 99.92, 105.8, 76.18, 104.0, 509, 509, 509, 511
c09, 1000, 996, 924, 767, 500, 500, 424, 500, 0, 0.5134, 6.947e-04, 0.6033, 162.2, 180.8, 155.5, 164.2, 707, 707, 707, 710
c10, 1000, 995, 945, 650, 500, 500, 445, 500, 0, 0.5490, 8.449e-04, 0.7689, 276.3, 281.1, 288.9, 271.8, 1093, 1093, 1093, 1093
c11, 2500, 2185, 2500, 2041, 500, 500, 500, 500, 0, 0.5021, 1.412e-03, 0.5236, 107.8, 80.34, 101.1, 83.86, 32, 32, 32, 32
c12, 2500, 2240, 2499, 1719, 500, 500, 499, 500, 0, 0.4982, 1.355e-03, 0.5086, 125.0, 95.31, 116.4, 83.80, 46, 46, 46, 46
c13, 2500, 2213, 2499, 1106, 500, 500, 499, 500, 0, 0.5048, 1.459e-03, 0.5518, 199.1, 171.7, 176.5, 104.7, 258, 258, 258, 259
c14, 2500, 2195, 2500, 950, 500, 500, 500, 500, 0, 0.5051, 1.240e-03, 0.5757, 201.9, 190.6, 190.8, 109.1, 323, 323, 323, 323
c15, 2500, 2174, 2500, 839, 500, 500, 500, 500, 0, 0.5075, 1.458e-03, 0.7903, 294.5, 273.9, 300.0, 240.1, 556, 556, 556, 556
c16, 12500, 4740, 12500, 4007, 500, 500, 500, 500, 0, 0.4770, 0.01154, 0.5275, 300.1, 171.2, 305.7, 120.4, 11, 11, 11, 11
c17, 12500, 4704, 12500, 3363, 500, 500, 500, 500, 0, 0.4671, 8.093e-03, 0.5348, 300.4, 168.6, 300.5, 127.1, 18, 18, 18, 18
c18, 12500, 4781, 12500, 2257, 500, 500, 500, 500, 0, 0.4683, 9.737e-03, 0.5474, 302.9, 300.0, 301.2, 187.8, 115, 114, 115, 113
c19, 12500, 4729, 12500, 1896, 500, 500, 500, 500, 0, 0.4817, 8.270e-03, 0.5523, 303.7, 300.8, 303.1, 165.8, 147, 146, 147, 146
c20, 12500, 4770, 12500, 1410, 500, 500, 500, 500, 0, 0.4897, 8.536e-03, 0.7122, 300.0, 234.6, 300.4, 162.3, 267, 267, 267, 267
