file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2
d01, 1250, 1248, 649, 1250, 1000, 1000, 399, 1000, 0, 3.481, 1.288e-03, 3.470, 162.6, 164.9, 23.68, 161.5, 106, 107, 106, 106
d02, 1250, 1250, 661, 1250, 1000, 1000, 411, 1000, 0, 3.527, 1.308e-03, 3.508, 186.5, 187.7, 27.39, 183.8, 220, 220, 220, 220
d03, 1250, 1248, 749, 1216, 1000, 1000, 499, 1000, 0, 3.363, 1.270e-03, 3.673, 301.9, 300.0, 230.9, 301.1, 1571, 1575, 1565, 1575
d04, 1250, 1249, 777, 1203, 1000, 1000, 528, 1000, 0, 3.534, 1.166e-03, 3.960, 300.6, 300.0, 300.0, 300.1, 1940, 1941, 1937, 1942
d05, 1250, 1249, 955, 1156, 1000, 1000, 705, 1000, 0, 3.279, 9.116e-04, 4.679, 300.0, 300.0, 300.0, 300.0, 3255, 3255, 3250, 3256
d06, 2000, 1992, 1774, 1998, 1000, 1000, 774, 1000, 0, 4.434, 1.397e-03, 4.462, 227.3, 210.7, 129.1, 223.5, 70, 70, 70, 68
d07, 2000, 1990, 1765, 1991, 1000, 1000, 766, 1000, 0, 4.298, 1.310e-03, 4.295, 232.6, 259.0, 140.4, 241.0, 103, 103, 103, 105
d08, 2000, 1994, 1812, 1658, 1000, 1000, 812, 1000, 0, 4.311, 1.145e-03, 4.562, 300.1, 300.6, 300.0, 300.0, 1083, 1076, 1084, 1083
d09, 2000, 1990, 1835, 1544, 1000, 1000, 836, 1000, 0, 4.337, 1.412e-03, 4.680, 300.0, 300.5, 300.0, 300.4, 1456, 1457, 1458, 1454
d10, 2000, 1991, 1868, 1306, 1000, 1000, 869, 1000, 0, 4.274, 1.602e-03, 5.878, 300.2, 300.3, 300.0, 300.1, 2111, 2110, 2110, 2110
d11, 5000, 4684, 4994, 4294, 1000, 1000, 994, 1000, 0, 4.149, 2.973e-03, 4.083, 301.3, 300.4, 300.3, 300.3, 30, 29, 30, 29
d12, 5000, 4671, 5000, 3347, 1000, 1000, 1000, 1000, 0, 4.046, 3.345e-03, 4.125, 302.7, 301.3, 300.0, 301.6, 42, 42, 42, 42
d13, 5000, 4643, 4998, 2161, 1000, 1000, 998, 1000, 0, 4.116, 2.398e-03, 4.183, 300.0, 303.2, 300.3, 303.0, 500, 500, 501, 501
d14, 5000, 4658, 4999, 1957, 1000, 1000, 999, 1000, 0, 4.095, 2.801e-03, 4.490, 300.0, 300.2, 300.0, 300.9, 668, 668, 668, 670
d15, 5000, 4640, 5000, 1581, 1000, 1000, 1000, 1000, 0, 4.062, 2.780e-03, 5.617, 300.0, 300.3, 300.1, 300.0, 1116, 1116, 1116, 1116
d16, 25000, 10595, 25000, 9170, 1000, 1000, 1000, 1000, 0, 3.667, 0.01672, 3.590, 305.2, 302.4, 307.2, 307.4, 13, 13, 13, 13
d17, 25000, 10542, 25000, 8675, 1000, 1000, 1000, 1000, 0, 3.680, 0.01972, 3.669, 317.8, 301.6, 308.6, 306.8, 23, 23, 23, 23
d18, 25000, 10312, 25000, 4364, 1000, 1000, 1000, 1000, 0, 3.624, 0.01579, 3.835, 322.8, 307.1, 301.2, 301.8, 229, 227, 229, 227
d19, 25000, 10242, 25000, 4573, 1000, 1000, 1000, 1000, 0, 3.548, 0.01570, 3.957, 314.9, 307.3, 304.7, 301.5, 313, 312, 312, 311
d20, 25000, 10471, 25000, 2926, 1000, 1000, 1000, 1000, 0, 3.990, 0.01647, 5.735, 300.0, 304.9, 300.0, 300.1, 538, 538, 537, 537
