file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2, original, LC, 1-2, SD2
lin01, 80, 80, 76, 79, 53, 53, 49, 53, 0, 9.330e-04, 4.240e-05, 1.016e-03, 0.2200, 0.2284, 0.1945, 0.2231, 503, 503, 503, 503
lin01, 80, 80, 76, 79, 53, 53, 49, 53, 0, 9.271e-04, 3.580e-05, 1.138e-03, 0.2269, 0.2379, 0.2002, 0.2232, 503, 503, 503, 503
lin02, 82, 82, 78, 80, 55, 55, 51, 55, 0, 1.009e-03, 3.500e-05, 1.250e-03, 0.3123, 0.3108, 0.3183, 0.2984, 557, 557, 557, 557
lin03, 84, 84, 80, 82, 57, 57, 53, 57, 0, 1.222e-03, 5.740e-05, 1.659e-03, 0.3695, 0.3865, 0.3311, 0.3510, 926, 926, 926, 926
lin04, 266, 266, 262, 260, 157, 157, 153, 157, 0, 0.01895, 1.240e-04, 0.01972, 2.731, 2.522, 2.866, 2.734, 1239, 1239, 1239, 1239
lin05, 269, 269, 265, 267, 160, 160, 156, 160, 0, 0.02027, 1.313e-04, 0.02128, 6.152, 4.402, 3.914, 3.846, 1703, 1703, 1703, 1703
lin06, 274, 274, 270, 260, 165, 165, 161, 165, 0, 0.02160, 1.322e-04, 0.02354, 4.582, 4.489, 4.405, 4.376, 1348, 1348, 1348, 1369
lin07, 526, 526, 522, 525, 307, 307, 303, 307, 0, 0.1279, 4.523e-04, 0.1270, 13.14, 12.54, 11.70, 15.05, 1885, 1885, 1885, 1885
lin08, 530, 530, 526, 527, 311, 311, 307, 311, 0, 0.1315, 2.681e-04, 0.1409, 16.54, 16.44, 14.56, 15.58, 2248, 2248, 2248, 2248
lin09, 532, 532, 528, 530, 313, 313, 309, 313, 0, 0.1353, 3.074e-04, 0.1415, 15.13, 14.29, 14.77, 15.11, 2785, 2785, 2785, 2785
lin10, 540, 540, 536, 531, 321, 321, 317, 321, 0, 0.1494, 2.971e-04, 0.1860, 24.12, 24.50, 37.03, 24.58, 4149, 4184, 4132, 4169
lin11, 1460, 1460, 1456, 1456, 816, 816, 812, 816, 0, 2.553, 7.014e-04, 2.618, 167.7, 161.5, 197.9, 161.1, 4291, 4333, 4287, 4287
lin12, 1462, 1462, 1458, 1455, 818, 818, 814, 818, 0, 2.642, 9.299e-04, 2.673, 184.5, 188.3, 181.3, 185.0, 5310, 5310, 5263, 5310
lin13, 1466, 1466, 1462, 1460, 822, 822, 818, 822, 0, 2.706, 1.187e-03, 2.725, 222.3, 206.3, 189.4, 241.1, 4609, 4642, 4633, 4637
lin14, 1472, 1472, 1468, 1467, 828, 828, 824, 828, 0, 2.632, 7.498e-04, 2.686, 287.7, 300.4, 280.4, 300.9, 6025, 5852, 5884, 5846
lin15, 1484, 1484, 1480, 1467, 840, 840, 836, 840, 0, 2.792, 7.650e-04, 2.844, 300.4, 301.6, 300.1, 283.2, 7173, 7165, 7165, 7161
lin16, 3633, 3633, 3629, 3633, 1981, 1981, 1977, 1981, 0, 36.32, 2.242e-03, 36.25, 315.7, 332.5, 310.3, 317.1, 6709, 6731, 6731, 6731
lin17, 3641, 3641, 3637, 3633, 1989, 1989, 1985, 1989, 0, 37.32, 2.367e-03, 36.66, 303.0, 300.1, 303.7, 311.4, 8951, 8803, 8951, 8951
lin18, 3646, 3646, 3642, 3639, 1994, 1994, 1990, 1994, 0, 36.80, 2.368e-03, 36.88, 301.0, 303.5, 305.5, 335.2, 10186, 10186, 10339, 10178
lin19, 3662, 3662, 3658, 3643, 2010, 2010, 2006, 2010, 0, 37.62, 2.206e-03, 37.76, 330.7, 335.9, 334.8, 300.2, 13520, 13520, 13520, 13520
lin20, 6709, 6709, 6705, 6704, 3675, 3675, 3671, 3675, 0, 230.6, 3.340e-03, 231.0, 485.5, 484.4, 522.3, 488.6, 6950, 6950, 6899, 6873
lin21, 6717, 6717, 6713, 6714, 3683, 3683, 3679, 3683, 0, 231.0, 4.440e-03, 232.2, 485.3, 485.3, 481.1, 497.3, 9414, 9522, 9522, 9502
lin22, 6726, 6726, 6722, 6719, 3692, 3692, 3688, 3692, 0, 231.2, 3.145e-03, 244.9, 311.1, 310.2, 309.4, 310.0, 10885, 10885, 10885, 10923
lin23, 6750, 6750, 6746, 6730, 3716, 3716, 3712, 3716, 0, 236.0, 5.027e-03, 237.5, 511.2, 511.0, 511.4, 550.5, 18246, 18293, 18237, 18347
