file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2
b01, 34, 36, 26, 28, 25, 25, 21, 25, 2.057e-03, 1.287e-03, 3.821e-03, 2.027e-03, 0.09312, 0.1067, 0.05941, 0.06076, 82, 82, 82, 82
b02, 39, 41, 36, 35, 28, 28, 26, 28, 1.182e-03, 1.057e-03, 6.569e-03, 3.168e-03, 0.1369, 0.1297, 0.1270, 0.1249, 83, 83, 83, 83
b03, 44, 45, 36, 35, 34, 34, 32, 34, 6.074e-04, 7.415e-04, 3.019e-03, 3.743e-03, 0.2940, 0.3148, 0.2168, 0.2519, 138, 138, 138, 138
b04, 85, 88, 53, 57, 40, 40, 32, 40, 8.955e-04, 1.138e-03, 2.685e-03, 2.109e-03, 0.4172, 0.3490, 0.1256, 0.2043, 59, 59, 59, 59
b05, 90, 89, 47, 62, 44, 43, 29, 44, 1.103e-03, 1.220e-03, 1.983e-03, 2.055e-03, 0.3904, 0.3308, 0.1350, 0.2329, 61, 61, 61, 61
b06, 92, 93, 62, 68, 47, 47, 40, 47, 1.117e-03, 1.101e-03, 3.856e-03, 3.404e-03, 0.5921, 0.6286, 0.4200, 0.5462, 122, 122, 122, 122
b07, 55, 58, 50, 47, 40, 40, 38, 40, 6.731e-04, 1.925e-03, 3.025e-03, 1.110e-03, 0.1963, 0.1936, 0.1700, 0.1661, 111, 111, 111, 111
b08, 52, 53, 39, 43, 37, 37, 32, 37, 6.060e-04, 1.825e-03, 4.208e-03, 1.739e-03, 0.2180, 0.2123, 0.1619, 0.1495, 104, 104, 104, 104
b09, 67, 67, 56, 53, 50, 50, 49, 50, 8.603e-04, 1.915e-03, 6.909e-03, 5.158e-03, 0.7824, 0.7482, 0.6866, 0.7590, 220, 220, 220, 220
b10, 131, 133, 108, 110, 61, 60, 55, 61, 1.536e-03, 2.450e-03, 4.026e-03, 2.664e-03, 0.7138, 0.7075, 0.5831, 0.6170, 86, 86, 86, 86
b11, 136, 136, 95, 101, 65, 64, 57, 65, 1.877e-03, 2.485e-03, 3.961e-03, 3.077e-03, 0.6282, 0.6255, 0.4084, 0.4689, 88, 88, 90, 90
b12, 135, 137, 71, 83, 68, 68, 53, 68, 1.942e-03, 2.396e-03, 7.197e-03, 6.537e-03, 1.390, 1.611, 1.035, 1.324, 174, 174, 174, 174
b13, 74, 74, 70, 67, 52, 51, 50, 52, 1.532e-03, 4.459e-03, 6.090e-03, 2.438e-03, 0.5630, 0.5540, 0.5096, 0.5818, 165, 165, 165, 165
b14, 85, 85, 77, 74, 60, 60, 57, 60, 1.272e-03, 3.801e-03, 6.453e-03, 3.055e-03, 0.8817, 0.9487, 0.8037, 0.7916, 235, 235, 237, 237
b15, 93, 93, 85, 83, 68, 68, 68, 68, 1.835e-03, 4.244e-03, 0.01239, 9.122e-03, 1.945, 1.955, 1.771, 1.833, 318, 318, 318, 318
b16, 173, 175, 152, 151, 82, 80, 78, 82, 3.187e-03, 4.925e-03, 7.067e-03, 4.516e-03, 1.470, 1.490, 1.324, 1.484, 127, 127, 127, 127
b17, 170, 171, 120, 126, 82, 81, 73, 82, 3.306e-03, 5.768e-03, 7.130e-03, 4.758e-03, 1.575, 1.602, 1.104, 1.328, 131, 131, 131, 131
b18, 182, 183, 94, 110, 88, 88, 70, 88, 3.734e-03, 5.196e-03, 0.01085, 9.848e-03, 3.203, 3.168, 2.154, 2.865, 218, 218, 218, 218
