file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2
c01, 329, 331, 331, 326, 206, 206, 206, 206, 0.04138, 0.4092, 0.4097, 0.04180, 5.454, 5.255, 4.830, 5.508, 85, 85, 85, 85
c02, 315, 320, 321, 312, 198, 198, 198, 198, 0.04185, 0.4403, 0.5241, 0.04342, 4.635, 4.370, 4.909, 5.377, 144, 144, 144, 144
c03, 382, 383, 353, 347, 258, 258, 248, 258, 0.08479, 0.4290, 0.4291, 0.1068, 35.17, 36.49, 36.13, 34.36, 754, 754, 759, 754
c04, 400, 401, 370, 351, 276, 276, 270, 276, 0.08230, 0.4459, 0.5136, 0.1296, 65.87, 59.97, 65.37, 60.79, 1079, 1079, 1083, 1084
c05, 469, 471, 396, 393, 347, 347, 334, 347, 0.1450, 0.4045, 0.6214, 0.3587, 183.6, 190.4, 178.5, 176.3, 1579, 1579, 1582, 1582
c06, 853, 860, 871, 857, 375, 372, 375, 375, 0.2393, 0.5327, 0.5968, 0.2392, 25.75, 22.98, 25.60, 25.57, 55, 55, 55, 55
c07, 876, 879, 863, 858, 389, 387, 382, 389, 0.2789, 0.5702, 0.5366, 0.2644, 31.51, 33.31, 28.47, 32.59, 102, 102, 109, 107
c08, 890, 895, 700, 703, 403, 401, 365, 403, 0.2998, 0.5325, 0.5800, 0.3180, 79.25, 85.73, 62.64, 71.84, 509, 509, 511, 511
c09, 916, 920, 627, 660, 424, 424, 360, 424, 0.3423, 0.5361, 0.5895, 0.3993, 124.9, 129.0, 100.4, 136.1, 708, 708, 710, 709
c10, 936, 939, 518, 582, 445, 444, 368, 445, 0.3850, 0.5152, 0.7963, 0.6383, 253.2, 257.9, 225.2, 252.5, 1093, 1093, 1093, 1093
c11, 2185, 2184, 2039, 2041, 500, 499, 498, 500, 0.5175, 0.4928, 0.5070, 0.5589, 81.75, 77.41, 81.09, 82.01, 32, 32, 32, 32
c12, 2239, 2239, 1709, 1718, 499, 499, 490, 499, 0.4944, 0.5120, 0.5268, 0.5543, 95.46, 101.5, 73.49, 74.36, 46, 46, 46, 46
c13, 2212, 2211, 1050, 1106, 499, 498, 444, 499, 0.5114, 0.5218, 0.5877, 0.5436, 167.4, 178.6, 86.16, 126.1, 258, 258, 259, 259
c14, 2195, 2195, 862, 950, 500, 500, 412, 500, 0.5045, 0.5030, 0.5747, 0.6402, 191.0, 185.6, 86.19, 116.9, 323, 323, 323, 323
c15, 2174, 2174, 767, 839, 500, 500, 428, 500, 0.5095, 0.6124, 0.8451, 0.8170, 274.8, 286.5, 203.3, 252.5, 556, 556, 556, 556
c16, 4740, 4740, 4007, 4007, 500, 500, 500, 500, 0.4735, 0.5203, 0.4615, 0.5538, 176.5, 169.7, 117.7, 127.5, 11, 11, 11, 11
c17, 4704, 4704, 3363, 3363, 500, 500, 500, 500, 0.5083, 0.5364, 0.4878, 0.5816, 172.5, 150.3, 132.5, 131.8, 18, 18, 18, 18
c18, 4781, 4781, 2254, 2257, 500, 500, 497, 500, 0.5391, 0.4572, 0.5815, 0.5130, 300.5, 300.9, 189.7, 207.7, 113, 114, 113, 113
c19, 4729, 4729, 1891, 1896, 500, 500, 495, 500, 0.5111, 0.4901, 0.5591, 0.5640, 300.0, 300.2, 169.0, 151.9, 146, 147, 146, 147
c20, 4770, 4770, 1390, 1410, 500, 500, 481, 500, 0.5115, 0.4992, 0.7899, 0.7954, 246.8, 243.1, 160.9, 164.3, 267, 267, 267, 267
