file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2
d01, 640, 647, 649, 644, 399, 399, 399, 399, 0.2845, 3.552, 3.550, 0.2884, 23.54, 21.14, 23.69, 21.85, 106, 107, 106, 106
d02, 659, 661, 661, 658, 411, 411, 411, 411, 0.3143, 3.577, 3.587, 0.3270, 34.63, 27.11, 27.78, 35.06, 220, 220, 220, 220
d03, 742, 746, 697, 662, 499, 498, 481, 499, 0.4871, 3.426, 3.522, 0.7384, 256.6, 289.6, 219.3, 208.2, 1565, 1565, 1567, 1569
d04, 774, 777, 713, 660, 528, 528, 510, 528, 0.5869, 3.556, 3.942, 0.9578, 300.0, 300.3, 300.0, 293.2, 1936, 1936, 1938, 1939
d05, 953, 954, 833, 831, 705, 705, 677, 705, 1.228, 3.268, 4.642, 2.503, 300.0, 300.0, 300.1, 300.2, 3250, 3250, 3253, 3251
d06, 1756, 1764, 1772, 1757, 774, 772, 774, 774, 2.111, 4.458, 4.440, 2.114, 122.9, 130.1, 123.8, 128.5, 70, 70, 70, 67
d07, 1747, 1751, 1749, 1728, 766, 762, 759, 766, 1.975, 4.312, 4.274, 2.012, 157.1, 132.1, 132.9, 152.5, 103, 103, 105, 105
d08, 1794, 1805, 1359, 1403, 812, 811, 701, 812, 2.364, 4.327, 4.568, 2.508, 300.0, 301.5, 300.2, 300.5, 1080, 1081, 1081, 1083
d09, 1815, 1823, 1250, 1342, 836, 833, 706, 836, 2.622, 4.300, 4.877, 3.010, 300.0, 300.0, 300.1, 301.9, 1453, 1453, 1455, 1454
d10, 1856, 1858, 1013, 1138, 869, 867, 707, 869, 2.870, 4.302, 5.958, 4.531, 300.2, 300.0, 300.4, 300.0, 2110, 2110, 2110, 2110
d11, 4675, 4677, 4280, 4284, 994, 993, 986, 994, 4.067, 4.135, 4.136, 4.104, 301.8, 300.1, 300.3, 303.1, 29, 30, 30, 30
d12, 4671, 4671, 3328, 3347, 1000, 1000, 981, 1000, 4.098, 4.141, 4.109, 4.112, 300.7, 302.5, 301.8, 300.0, 42, 42, 42, 42
d13, 4639, 4641, 2037, 2159, 998, 998, 876, 998, 4.068, 4.097, 4.248, 4.288, 300.1, 303.4, 300.0, 301.4, 503, 502, 500, 500
d14, 4657, 4657, 1807, 1956, 999, 999, 850, 999, 4.039, 4.059, 4.474, 4.471, 300.6, 303.0, 300.1, 300.1, 667, 668, 670, 669
d15, 4640, 4638, 1410, 1581, 1000, 998, 829, 1000, 4.093, 4.052, 5.624, 5.613, 300.1, 300.0, 300.0, 300.0, 1116, 1116, 1116, 1116
d16, 10595, 10595, 9170, 9170, 1000, 1000, 1000, 1000, 3.664, 3.534, 3.638, 3.664, 306.0, 308.0, 300.3, 306.0, 13, 13, 13, 13
d17, 10542, 10542, 8675, 8675, 1000, 1000, 1000, 1000, 3.690, 3.693, 3.681, 3.661, 304.0, 303.6, 304.4, 303.4, 23, 23, 23, 23
d18, 10312, 10312, 4359, 4364, 1000, 1000, 995, 1000, 3.619, 3.571, 3.747, 3.847, 305.3, 302.0, 302.9, 301.6, 231, 226, 227, 229
d19, 10242, 10242, 4570, 4573, 1000, 1000, 997, 1000, 3.669, 3.643, 3.946, 3.937, 306.2, 307.6, 300.0, 302.8, 312, 312, 311, 312
d20, 10471, 10471, 2897, 2926, 1000, 1000, 972, 1000, 4.008, 3.952, 5.891, 5.796, 300.0, 300.0, 300.1, 300.1, 537, 537, 538, 538
