file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2
e01, 1582, 1587, 1587, 1584, 962, 962, 962, 962, 4.157, 53.40, 53.37, 4.164, 184.7, 172.2, 174.1, 177.2, 111, 111, 111, 111
e02, 1628, 1628, 1628, 1619, 1004, 1004, 1004, 1004, 4.611, 53.49, 53.43, 4.644, 296.7, 249.5, 266.7, 242.3, 214, 216, 216, 216
e03, 1863, 1868, 1794, 1664, 1243, 1243, 1227, 1243, 7.938, 52.65, 55.41, 9.347, 300.3, 300.3, 300.2, 300.0, 4042, 4041, 4051, 4051
e04, 1956, 1961, 1835, 1720, 1336, 1336, 1303, 1336, 9.794, 54.33, 58.00, 13.17, 300.0, 302.2, 300.0, 300.3, 5117, 5116, 5119, 5118
e05, 2363, 2365, 2032, 2010, 1741, 1741, 1663, 1741, 18.83, 52.11, 70.25, 36.52, 300.8, 300.5, 300.1, 303.8, 8132, 8132, 8139, 8139
e06, 4355, 4371, 4378, 4371, 1879, 1879, 1879, 1879, 29.46, 67.21, 70.85, 29.88, 304.7, 302.8, 314.7, 312.0, 76, 73, 76, 76
e07, 4390, 4397, 4405, 4376, 1909, 1906, 1908, 1909, 30.88, 65.98, 66.08, 30.89, 329.5, 302.9, 303.2, 305.0, 149, 149, 147, 149
e08, 4490, 4492, 3564, 3574, 2007, 2005, 1831, 2007, 39.02, 73.78, 67.26, 36.77, 308.4, 307.3, 300.0, 304.4, 2661, 2661, 2657, 2663
e09, 4555, 4564, 3255, 3381, 2072, 2071, 1801, 2072, 38.57, 65.55, 70.18, 42.50, 300.0, 305.1, 300.4, 300.0, 3621, 3621, 3628, 3624
e10, 4677, 4681, 2724, 2968, 2190, 2189, 1852, 2190, 44.75, 65.17, 83.83, 63.24, 300.4, 307.5, 300.1, 300.5, 5606, 5607, 5609, 5609
e11, 12093, 12093, 11856, 11856, 2498, 2498, 2498, 2498, 62.02, 62.22, 62.13, 61.99, 319.5, 353.2, 344.6, 315.4, 37, 34, 37, 34
e12, 12123, 12123, 11118, 11122, 2500, 2500, 2496, 2500, 65.89, 65.77, 62.51, 62.81, 302.0, 321.8, 306.6, 302.0, 68, 68, 68, 68
e13, 12076, 12079, 5167, 5451, 2496, 2496, 2210, 2496, 61.14, 61.54, 63.39, 63.27, 300.0, 313.4, 300.2, 333.9, 1300, 1299, 1291, 1297
e14, 12122, 12120, 4588, 4976, 2499, 2497, 2112, 2499, 61.97, 62.06, 65.66, 66.20, 323.6, 305.5, 300.0, 300.8, 1740, 1744, 1742, 1743
e15, 12035, 12036, 3565, 4016, 2498, 2498, 2048, 2498, 61.50, 61.97, 82.27, 81.52, 300.3, 300.2, 301.0, 300.1, 2790, 2790, 2790, 2791
e16, 29332, 29332, 25973, 25973, 2500, 2500, 2500, 2500, 52.97, 53.04, 53.19, 53.06, 374.8, 363.1, 339.7, 350.7, 15, 15, 15, 15
e17, 29090, 29090, 22370, 22370, 2500, 2500, 2500, 2500, 52.79, 53.06, 53.06, 53.24, 368.4, 357.3, 303.5, 360.1, 26, 26, 26, 26
e18, 29070, 29070, 12223, 12226, 2500, 2500, 2497, 2500, 53.07, 54.93, 55.06, 54.99, 361.8, 357.9, 342.5, 307.2, 595, 595, 586, 577
e19, 29281, 29281, 9366, 9403, 2500, 2500, 2463, 2500, 52.87, 52.96, 56.67, 57.39, 332.6, 337.6, 300.1, 313.3, 774, 777, 767, 766
e20, 29093, 29093, 6976, 7038, 2500, 2500, 2438, 2500, 52.88, 52.91, 70.29, 70.78, 347.2, 301.3, 300.2, 309.5, 1345, 1349, 1349, 1350
