file, #edges, #edges, #edges, #edges, #vertices, #vertices, #vertices, #vertices, pp time, pp time, pp time, pp time, time, time, time, time, weight, weight, weight, weight
file, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2, 1-2_LC, LC_1-2, SD2->1-2, 1-2->SD2
lin01, 76, 76, 74, 73, 49, 49, 48, 49, 1.003e-03, 9.619e-04, 1.169e-03, 9.440e-04, 0.2019, 0.1974, 0.1791, 0.1512, 503, 503, 503, 503
lin01, 76, 76, 74, 73, 49, 49, 48, 49, 8.799e-04, 9.987e-04, 1.250e-03, 9.610e-04, 0.2047, 0.1937, 0.1870, 0.1549, 503, 503, 503, 503
lin02, 78, 78, 75, 73, 51, 51, 50, 51, 8.995e-04, 1.056e-03, 1.419e-03, 1.062e-03, 0.2673, 0.2808, 0.2531, 0.2173, 557, 557, 557, 557
lin03, 80, 80, 74, 76, 53, 53, 49, 53, 1.124e-03, 1.163e-03, 1.441e-03, 1.231e-03, 0.3164, 0.3594, 0.2440, 0.2623, 926, 926, 926, 926
lin04, 262, 262, 252, 256, 153, 153, 149, 153, 0.01819, 0.01916, 0.01989, 0.01862, 2.919, 2.859, 2.246, 2.658, 1239, 1239, 1239, 1239
lin05, 265, 265, 259, 261, 156, 156, 153, 156, 0.01862, 0.02020, 0.02099, 0.01985, 3.924, 3.995, 3.303, 3.136, 1703, 1703, 1703, 1703
lin06, 270, 270, 243, 255, 161, 161, 148, 161, 0.02097, 0.02214, 0.02384, 0.02247, 4.435, 4.296, 3.777, 4.492, 1348, 1348, 1369, 1369
lin07, 522, 522, 520, 521, 303, 303, 302, 303, 0.1245, 0.1298, 0.1305, 0.1251, 13.07, 13.60, 14.41, 14.09, 1885, 1885, 1885, 1885
lin08, 526, 526, 521, 523, 307, 307, 305, 307, 0.1429, 0.1355, 0.1382, 0.1329, 15.04, 14.76, 15.45, 15.00, 2248, 2248, 2248, 2248
lin09, 528, 528, 523, 525, 309, 309, 306, 309, 0.1309, 0.1354, 0.1490, 0.1883, 14.95, 14.95, 13.54, 15.52, 2785, 2785, 2785, 2785
lin10, 536, 536, 520, 527, 317, 317, 310, 317, 0.1408, 0.1523, 0.1684, 0.1474, 25.54, 25.81, 28.47, 24.69, 4204, 4204, 4204, 4192
lin11, 1456, 1456, 1451, 1452, 812, 812, 811, 812, 2.537, 2.506, 2.513, 2.522, 217.9, 214.3, 185.3, 159.1, 4295, 4287, 4287, 4297
lin12, 1458, 1458, 1449, 1450, 814, 814, 812, 814, 2.619, 2.577, 2.604, 2.655, 185.9, 181.6, 174.2, 178.0, 5310, 5310, 5310, 5263
lin13, 1462, 1462, 1453, 1456, 818, 818, 815, 818, 2.602, 2.690, 2.686, 2.660, 254.4, 250.2, 203.5, 191.8, 4637, 4609, 4620, 4620
lin14, 1468, 1468, 1458, 1463, 824, 824, 819, 824, 2.597, 2.716, 2.722, 2.626, 300.3, 269.6, 300.2, 268.6, 5894, 5846, 5846, 5884
lin15, 1480, 1480, 1447, 1462, 836, 836, 821, 836, 2.785, 2.740, 2.796, 2.948, 300.9, 300.6, 269.0, 265.6, 7165, 7165, 7149, 7165
lin16, 3629, 3629, 3629, 3629, 1977, 1977, 1977, 1977, 35.73, 36.20, 36.13, 35.90, 305.0, 300.5, 302.5, 308.7, 6731, 6731, 6731, 6731
lin17, 3637, 3637, 3627, 3629, 1985, 1985, 1983, 1985, 36.02, 37.05, 36.51, 36.40, 327.0, 315.9, 301.6, 304.8, 8951, 8951, 8951, 8803
lin18, 3642, 3642, 3631, 3635, 1990, 1990, 1986, 1990, 36.63, 36.85, 36.97, 36.85, 303.4, 303.7, 332.0, 333.9, 10150, 10150, 10312, 10339
lin19, 3658, 3658, 3628, 3639, 2006, 2006, 1996, 2006, 37.26, 37.59, 37.78, 37.59, 302.1, 303.3, 302.1, 301.2, 13520, 13520, 13520, 13520
lin20, 6705, 6705, 6697, 6700, 3671, 3671, 3668, 3671, 229.6, 230.6, 231.1, 230.1, 528.1, 304.8, 479.3, 480.4, 6899, 6899, 7098, 6873
lin21, 6713, 6713, 6707, 6710, 3679, 3679, 3676, 3679, 237.7, 235.1, 231.5, 231.5, 482.2, 478.8, 512.5, 487.7, 9502, 9488, 9562, 9414
lin22, 6722, 6722, 6710, 6715, 3688, 3688, 3683, 3688, 230.6, 231.3, 242.0, 240.9, 308.9, 314.1, 503.0, 307.4, 10923, 10923, 10900, 10885
lin23, 6746, 6746, 6713, 6726, 3712, 3712, 3699, 3712, 260.7, 244.8, 237.2, 235.5, 508.0, 508.2, 300.0, 511.5, 18329, 18244, 18408, 18430
